"date","PIB","IPCA","SELIC","CAMBIO","DESEMPREGO"
1999-04-01,-0.0120494304858916,0.00558382146796443,-0.98,-0.113067116143672,-0.70000028610229
1999-05-01,0.0167723555197501,0.00299838391453644,-0.33,-0.00627964148889393,-0.70000028610229
1999-06-01,0.0278948450152967,0.00189499665493553,-0.35,0.0475243896056033,-0.70000028610229
1999-07-01,-0.00564552402752305,0.0108385076342419,-0.01,0.0195848127310811,-0.70000028610229
1999-08-01,0.0114761021430585,0.00558318949476266,-0.0899999999999999,0.0437629283049094,-0.70000028610229
1999-09-01,-0.0182798296197841,0.00309698065394848,-0.0800000000000001,0.00916004604609311,-0.70000028610229
1999-10-01,0.0564336932819547,0.0118327072056728,-0.11,0.0369416035559536,-0.70000028610229
1999-11-01,0.0377734733418222,0.00945504161467881,0.01,-0.0203198535321978,-0.70000028610229
1999-12-01,-0.00797238808839751,0.00597921374740107,0.21,-0.0462016350785914,-0.70000028610229
2000-01-01,-0.0647828159949135,0.00618143965219797,-0.14,-0.0214554582670977,-0.70000028610229
2000-02-01,-0.00874660438983099,0.00130044721193912,-0.01,-0.0158777864616034,-0.70000028610229
2000-03-01,0.00878224991132548,0.00219691147807755,0,-0.0189441624084086,-0.70000028610229
2000-04-01,-0.0130870047769935,0.00419316519776025,-0.15,0.0149350094057615,-0.70000028610229
2000-05-01,0.077373414582107,9.93276758762818e-05,0.19,0.0332204703337157,-0.70000028610229
2000-06-01,0.0393114799320013,0.00230039815847771,-0.1,-0.0107853353846999,-0.70000028610229
2000-07-01,0.00703559209450866,0.0159745843031915,-0.0799999999999998,-0.00582606724936074,-0.70000028610229
2000-08-01,0.0169467141311248,0.0130136603878377,0.0999999999999999,0.00632386863689105,-0.70000028610229
