"var_name","H","M_spec","estimador","est_label","spec_label","DM_stat","p_value","DM_pval_onesided","sig_2s","sig_1s"
"IPCA",6,2,4,"MSRRd","AR+F",1.03596532096424,0.302250744724777,0.848874627637612,"",""
"IPCA",6,3,1,"Ridge","AR+Tgt",0.0434281959067862,0.965430623904328,0.517284688047836,"",""
"IPCA",6,3,3,"MSRRs","AR+Tgt",2.02364657041741,0.0451734449515686,0.977413277524216,"**",""
"IPCA",6,3,4,"MSRRd","AR+Tgt",0.614936746174545,0.539732478102154,0.730133760948923,"",""
"IPCA",6,4,1,"Ridge","AR+Pan",0.341759533933384,0.733115068000817,0.633442465999592,"",""
"IPCA",6,4,3,"MSRRs","AR+Pan",0.884153005896897,0.378338609604977,0.810830695197511,"",""
"IPCA",6,4,4,"MSRRd","AR+Pan",0.691650016805204,0.490460615711665,0.754769692144167,"",""
"SELIC",1,1,2,"2SRR","AR",-3.10683220515656,0.00234862515715793,0.00117431257857897,"***","†††"
"SELIC",1,1,3,"MSRRs","AR",-3.02345826608206,0.00304217520575211,0.00152108760287606,"***","†††"
"SELIC",1,1,4,"MSRRd","AR",-2.54845763359004,0.0120505717952425,0.00602528589762123,"**","†††"
"SELIC",1,2,1,"Ridge","AR+F",-3.00599425454595,0.00320955858215014,0.00160477929107507,"***","†††"
"SELIC",1,2,2,"2SRR","AR+F",-1.79675476722286,0.0748286707318344,0.0374143353659172,"*","††"
"SELIC",1,2,3,"MSRRs","AR+F",-1.21078947080811,0.228297483731606,0.114148741865803,"",""
"SELIC",1,2,4,"MSRRd","AR+F",-1.65169441062335,0.101933782257371,0.0509668911286854,"","†"
"SELIC",1,3,1,"Ridge","AR+Tgt",2.87705502898048,0.00473361259152131,0.997633193704239,"***",""
"SELIC",1,3,2,"2SRR","AR+Tgt",-0.782390538550295,0.435488732564315,0.217744366282157,"",""
"SELIC",1,3,3,"MSRRs","AR+Tgt",0.5927154407498,0.554459756493119,0.72277012175344,"",""
"SELIC",1,3,4,"MSRRd","AR+Tgt",-0.501078758346118,0.617211254190988,0.308605627095494,"",""
"SELIC",1,4,1,"Ridge","AR+Pan",-2.93189600141212,0.00401852540418366,0.00200926270209183,"***","†††"
"SELIC",1,4,2,"2SRR","AR+Pan",-1.5666431016972,0.119767283845368,0.0598836419226838,"","†"
"SELIC",1,4,3,"MSRRs","AR+Pan",-0.983865422373231,0.327113041631717,0.163556520815859,"",""
"SELIC",1,4,4,"MSRRd","AR+Pan",-1.64554443117612,0.1024106812933,0.05120534064665,"","†"
"SELIC",12,1,3,"MSRRs","AR",-1.95800390617061,0.0524935480129662,0.0262467740064831,"*","††"
"SELIC",12,1,4,"MSRRd","AR",-2.03596041279443,0.0439020114791406,0.0219510057395703,"**","††"
"SELIC",12,2,1,"Ridge","AR+F",-1.62828033569,0.106024241967701,0.0530121209838503,"","†"
"SELIC",12,2,3,"MSRRs","AR+F",-1.00744778489381,0.315697422886834,0.157848711443417,"",""
"SELIC",12,2,4,"MSRRd","AR+F",-1.49855856082879,0.136550316862624,0.0682751584313121,"","†"
"SELIC",12,3,1,"Ridge","AR+Tgt",-0.192707408607066,0.847505945432883,0.423752972716441,"",""
"SELIC",12,3,3,"MSRRs","AR+Tgt",0.833982558294564,0.405907528712782,0.797046235643609,"",""
"SELIC",12,3,4,"MSRRd","AR+Tgt",0.154191106284927,0.877711764661775,0.561144117669113,"",""
"SELIC",12,4,1,"Ridge","AR+Pan",-1.82198115132738,0.0708874500379109,0.0354437250189555,"*","††"
"SELIC",12,4,3,"MSRRs","AR+Pan",2.16034521548743,0.0326850494209577,0.983657475289521,"**",""
"SELIC",12,4,4,"MSRRd","AR+Pan",-0.504786363754224,0.614626988467211,0.307313494233605,"",""
"SELIC",3,1,2,"2SRR","AR",-1.34559750351666,0.180907599241364,0.0904537996206819,"","†"
"SELIC",3,1,3,"MSRRs","AR",-0.836315797754001,0.404599064068094,0.202299532034047,"",""
"SELIC",3,1,4,"MSRRd","AR",-0.631588970181583,0.528827557846953,0.264413778923477,"",""
"SELIC",3,2,1,"Ridge","AR+F",-1.91376367302222,0.0579739466563459,0.028986973328173,"*","††"
"SELIC",3,2,2,"2SRR","AR+F",-0.854297544826651,0.394600959979218,0.197300479989609,"",""
"SELIC",3,2,3,"MSRRs","AR+F",-0.42529861686704,0.67136215778384,0.33568107889192,"",""
"SELIC",3,2,4,"MSRRd","AR+F",-0.794910995997377,0.428196466759203,0.214098233379601,"",""
"SELIC",3,3,1,"Ridge","AR+Tgt",-0.655552761184345,0.513336211352575,0.256668105676287,"",""
"SELIC",3,3,2,"2SRR","AR+Tgt",-0.329343042091625,0.742456568822607,0.371228284411304,"",""
"SELIC",3,3,3,"MSRRs","AR+Tgt",0.184110476000572,0.854229977205744,0.572885011397128,"",""
"SELIC",3,3,4,"MSRRd","AR+Tgt",0.188828772249203,0.850538234260963,0.574730882869519,"",""
"SELIC",3,4,1,"Ridge","AR+Pan",-1.72584584826824,0.0868863107922757,0.0434431553961378,"*","††"
"SELIC",3,4,2,"2SRR","AR+Pan",-0.0734167856785712,0.9415937184075,0.47079685920375,"",""
"SELIC",3,4,3,"MSRRs","AR+Pan",0.330500687094128,0.741583969293765,0.629208015353118,"",""
"SELIC",3,4,4,"MSRRd","AR+Pan",-0.378035607301643,0.706055752384899,0.35302787619245,"",""
"SELIC",6,1,3,"MSRRs","AR",1.02404882436461,0.307822017180915,0.846088991409543,"",""
"SELIC",6,1,4,"MSRRd","AR",1.08085745441643,0.281892504343866,0.859053747828067,"",""
"SELIC",6,2,1,"Ridge","AR+F",0.18586858804446,0.852853992973206,0.573573003513397,"",""
"SELIC",6,2,3,"MSRRs","AR+F",2.0450213510579,0.0429860929648103,0.978506953517595,"**",""
"SELIC",6,2,4,"MSRRd","AR+F",4.2359041548813,4.44239308714181e-05,0.999977788034564,"***",""
"SELIC",6,3,1,"Ridge","AR+Tgt",-0.293411417512187,0.769702178265885,0.384851089132943,"",""
"SELIC",6,3,3,"MSRRs","AR+Tgt",0.949749686196264,0.344101864053405,0.827949067973297,"",""
"SELIC",6,3,4,"MSRRd","AR+Tgt",1.4083874596297,0.161539058425729,0.919230470787136,"",""
"SELIC",6,4,1,"Ridge","AR+Pan",-0.0896885209873636,0.928680618230452,0.464340309115226,"",""
"SELIC",6,4,3,"MSRRs","AR+Pan",2.33942048191594,0.0209255526887801,0.98953722365561,"**",""
"SELIC",6,4,4,"MSRRd","AR+Pan",2.23710844201424,0.0278961074496519,0.986051946275174,"**",""
"CAMBIO",1,1,2,"2SRR","AR",1.31562370963862,0.190747362519604,0.904626318740198,"",""
"CAMBIO",1,1,3,"MSRRs","AR",1.43217271084151,0.154630811378804,0.922684594310598,"",""
"CAMBIO",1,1,4,"MSRRd","AR",1.60351944780252,0.111384850452818,0.944307574773591,"",""
"CAMBIO",1,2,1,"Ridge","AR+F",0.0859840231372296,0.931618927824748,0.534190536087626,"",""
"CAMBIO",1,2,2,"2SRR","AR+F",0.917638185552412,0.360604159164944,0.819697920417528,"",""
"CAMBIO",1,2,3,"MSRRs","AR+F",0.229849465587571,0.818590550614824,0.590704724692588,"",""
"CAMBIO",1,2,4,"MSRRd","AR+F",-0.0920334902017084,0.926821156762133,0.463410578381066,"",""
"CAMBIO",1,3,1,"Ridge","AR+Tgt",1.16678941965603,0.245552586219505,0.877223706890248,"",""
"CAMBIO",1,3,2,"2SRR","AR+Tgt",1.61842674754226,0.108132153025577,0.945933923487212,"",""
"CAMBIO",1,3,3,"MSRRs","AR+Tgt",2.11031775765999,0.0368567501727241,0.981571624913638,"**",""
"CAMBIO",1,3,4,"MSRRd","AR+Tgt",2.29372856012256,0.0235028251374412,0.988248587431279,"**",""
"CAMBIO",1,4,1,"Ridge","AR+Pan",0.140889790186779,0.88818748530613,0.555906257346935,"",""
"CAMBIO",1,4,2,"2SRR","AR+Pan",2.08861592312647,0.0388045924332576,0.980597703783371,"**",""
"CAMBIO",1,4,3,"MSRRs","AR+Pan",0.759816051767646,0.448818411085571,0.775590794457214,"",""
"CAMBIO",1,4,4,"MSRRd","AR+Pan",0.203988449800625,0.838699649955891,0.580650175022055,"",""
"CAMBIO",12,1,3,"MSRRs","AR",1.46870644041202,0.144465297077127,0.927767351461437,"",""
"CAMBIO",12,1,4,"MSRRd","AR",1.27902185482692,0.203297114745423,0.898351442627288,"",""
"CAMBIO",12,2,1,"Ridge","AR+F",0.70823324907102,0.480140424351784,0.759929787824108,"",""
"CAMBIO",12,2,3,"MSRRs","AR+F",1.69367657836806,0.0928577159053852,0.953571142047307,"*",""
"CAMBIO",12,2,4,"MSRRd","AR+F",1.17325335392686,0.243057055461685,0.878471472269158,"",""
"CAMBIO",12,3,1,"Ridge","AR+Tgt",1.63073865941784,0.105503523527229,0.947248238236385,"",""
