"date","ganho","delta_lam"
"2003-10-01",0.0771578897996134,140266.674896025
"2003-11-01",-0.000448367719425059,140387.085547141
"2003-12-01",0.0258408553305774,140296.725821883
"2004-01-01",0.0353284957781287,140438.456783723
"2004-02-01",0.0104164121913947,140712.15570412
"2004-03-01",-0.00711992980052892,140889.377915332
"2004-04-01",0.000531428530684641,140990.593004067
"2004-05-01",0.0167517783259945,140933.629567982
"2004-06-01",-0.00187408243631619,141034.783486195
"2004-07-01",0.0319696607896319,141364.077426313
"2004-08-01",0.00755463690385381,141467.456598965
"2004-09-01",0.0373944631753306,141451.066383312
"2004-10-01",-0.0187880994761383,141479.558670132
"2004-11-01",0.000318136694251829,141746.281498084
"2004-12-01",0.128351834873644,142201.433368607
"2005-01-01",0.0661426252181103,142358.463855683
"2005-02-01",0.0243907935577799,142058.706279357
"2005-03-01",0.00875472269622265,142302.054493826
"2005-04-01",0.000355508711446842,142439.55198671
"2005-05-01",0.0742268991492015,142655.324264364
"2005-06-01",0.0088597792457306,142956.910858631
"2005-07-01",0.0933600291621824,142802.507217507
"2005-08-01",0.02358019487186,52648.1684213005
"2005-09-01",-0.689674385251594,52805.6198861073
"2005-10-01",0.0721547547399642,142605.485987727
"2005-11-01",0.547044392846387,392766.748414905
"2005-12-01",-0.00297102311485412,145118.120930248
"2006-01-01",0.107700585830386,144697.786957748
"2006-02-01",-0.0343768823288168,394553.487561577
"2006-03-01",-0.00188798471926805,395979.400678435
"2006-04-01",0.0230122369294108,395918.875664851
"2006-05-01",-0.0302422857933935,396339.209047799
"2006-06-01",0.00522353036647033,146141.028803088
"2006-07-01",-0.0449525263108302,146308.811189807
"2006-08-01",-0.00638446559935473,398077.54472335
"2006-09-01",0.224793093512329,398152.35687612
"2006-10-01",0.0520478904922968,398460.754212861
"2006-11-01",-0.0669812082222233,394454.846231039
"2006-12-01",0.076278045101628,393969.225508294
"2007-01-01",0.00690848660537206,394516.403855514
"2007-02-01",-0.0659135278687587,395364.707167474
"2007-03-01",0.00151923807752988,395732.450155104
"2007-04-01",0.00203862802116338,395917.412373937
"2007-05-01",-0.0425411232502217,396505.487076594
"2007-06-01",0.00569118859025945,396834.542175369
"2007-07-01",0.00404051135042748,397184.525237336
"2007-08-01",-0.0122181988042901,396866.335661064
"2007-09-01",-0.0367408313263447,397102.48200524
"2007-10-01",-0.00921026069258516,398452.900720923
"2007-11-01",-0.0755562776325947,399252.160642058
"2007-12-01",0.0162306579453278,399367.93244257
"2008-01-01",-0.0714338535356598,400736.934129153
"2008-02-01",-0.00335869005396006,400631.331688306
"2008-03-01",0.0135254118331424,401024.084597919
"2008-04-01",-0.00435078918246166,400920.64135413
"2008-05-01",0.0664507213881069,401450.903579312
"2008-06-01",0.0689855233351241,148535.184160361
"2008-07-01",0.0326794441052677,403830.582380439
"2008-08-01",0.0228347266890489,399875.46700608
"2008-09-01",0.0184349857289668,397389.901834448
"2008-10-01",-0.678627458614569,391755.309778396
"2008-11-01",-0.494533214301562,381007.618013107
"2008-12-01",-0.034961107667744,362901.976658444
"2009-01-01",0.314941422501471,355866.53456274
"2009-02-01",0.0400385225705712,360562.730972302
"2009-03-01",-0.0346591951413123,361881.476412123
"2009-04-01",-0.0398191347519553,133272.357943887
"2009-05-01",-0.0498826400884586,133435.087549039
"2009-06-01",0.374374568523953,133101.400051279
"2009-07-01",-0.451422625688306,133837.855117858
"2009-08-01",0.0713305754622606,134453.017237807
"2009-09-01",-0.430177245194311,135137.373462571
"2009-10-01",0.0673078891005403,135219.095751312
"2009-11-01",0.0177019614232598,135405.687926972
"2009-12-01",-0.0180277626316952,135657.667482069
"2010-01-01",-0.0290843775972159,135707.886702548
"2010-02-01",-0.113803480712365,135734.572986944
"2010-03-01",0.00107738201300434,135748.439405615
"2010-04-01",-0.0230329044393849,135676.819373569
"2010-05-01",-0.0235685901794651,135565.678525377
"2010-06-01",-0.0910832355802102,135494.665127621
"2010-07-01",0.0125690551027729,135339.55071101
"2010-08-01",-0.0116510183314779,135494.516930993
"2010-09-01",0.0140245816051834,135580.691715367
"2010-10-01",0.0262635993425248,135607.209596011
"2010-11-01",0.00110106449166238,135775.711739418
"2010-12-01",0.019636832809586,135896.286154966
"2011-01-01",-0.00601974299007255,369831.585640921
"2011-02-01",-0.0133197742148812,370131.686025784
"2011-03-01",-0.0632266628592726,370370.293907012
"2011-04-01",0.0117024559117873,370593.221924456
"2011-05-01",-0.00476670129314846,136468.046003373
"2011-06-01",0.00844410051514505,371596.102047458
"2011-07-01",0.0185757712193817,371737.766288143
"2011-08-01",0.0112389525694316,136975.856791717
"2011-09-01",0.00537916555399078,137202.039987941
"2011-10-01",-0.0597529500647573,137362.612793479
"2011-11-01",0.00612556129409112,137396.307732757
"2011-12-01",-0.0459580818125626,137543.77271193
"2012-01-01",0.0249268508089659,137529.323544827
"2012-02-01",-0.00731317023737516,137755.642093724
"2012-03-01",-0.0128378022358858,137869.379839936
"2012-04-01",-0.00558212604881327,138008.360133005
"2012-05-01",0.0148148269561493,138216.088226457
"2012-06-01",-0.013512080961782,138056.131640969
"2012-07-01",0.00258532531142677,137865.794619576
"2012-08-01",0.0502634404449681,137714.149325298
"2012-09-01",0.0140687337266034,375373.633326091
