"t","intercept","y_lag1","y_lag2","F1_lag1","F2_lag1","F3_lag1","F4_lag1","F5_lag1","F6_lag1","F7_lag1","F8_lag1","F1_lag2","F2_lag2","F3_lag2","F4_lag2","F5_lag2","F6_lag2","F7_lag2","F8_lag2","date"
659,0.42808142915092,-0.265028738584405,-0.175818919736485,0.00280469259586349,0.0526426216152109,-0.0227354456784889,0.0237625070414529,-0.0127126186749141,-0.00951355239073016,-0.013922401280166,0.00320569883333899,0.0171249540676817,0.0051513669755774,0.0105783342499872,0.00476178607613593,0.0162383627232557,-0.0135461890400224,-0.000550551735450306,-0.00963650579373131,2014-11-01
660,0.42667507673498,-0.267415462942246,-0.17268124308222,0.00290395149434189,0.0535833979467059,-0.0237303055553742,0.0249306119079035,-0.0135644760890512,-0.00949685420615502,-0.0132588838874178,0.00317422097543891,0.0172286777920689,0.00564117189367925,0.0109044953772446,0.00524948003883483,0.0165437423004307,-0.0138833047748147,-0.000523933112400662,-0.00943408054133646,2014-12-01
661,0.423631547350508,-0.248563251379541,-0.179137224753931,0.00348386696407137,0.0555476848791325,-0.0234030846613779,0.0260115767851987,-0.0130599898121849,-0.00663038370361261,-0.0125009194371648,-0.000466987095611603,0.0167347067332564,0.00688912992636302,0.0100844006840889,0.00557256665353892,0.0150792714419607,-0.015263131608864,0.00133882631462,-0.00834960413512371,2015-01-01
662,0.428135827296958,-0.233841015560277,-0.203779422491547,0.0021350849618408,0.0583344289268067,-0.0235338118479582,0.034454436688677,-0.0197315893170725,-0.00601512668881176,-0.00980843868576951,0.00306833815141507,0.0173324980646659,0.0120646060914018,0.00901193618310146,0.0130757591666197,0.016815194599908,-0.0116117730477509,0.00673628883001262,-0.0147501430319076,2015-02-01
663,0.420767764237229,-0.271300172760099,-0.164040087193602,0.00274931139831206,0.0567158663743775,-0.0205964699673711,0.025564407819018,-0.011579359720042,-0.00760940446664045,-0.0133115058811019,2.31822563645446e-05,0.0158152609272375,0.00445962637604075,0.0113105498970349,0.00477189270985058,0.0134522034709701,-0.0110154402926719,0.000891894232582986,-0.0164295772407468,2015-03-01
664,0.420416721866098,-0.272145121657486,-0.162807486060624,0.00279738145409438,0.0566270317810278,-0.0205526054138969,0.0257000614290815,-0.011571898208975,-0.00748023263723744,-0.0135660250494413,0.000168906995044764,0.015906490954391,0.00461872608006934,0.0112633735863395,0.00475730493349184,0.0133335154383273,-0.0110096291242035,0.00041255079710782,-0.0166064321776228,2015-04-01
665,0.420400790216199,-0.273544444265333,-0.164999773585483,0.00269752617444213,0.0564988127677014,-0.0206803619205258,0.025865786856518,-0.0112321306699955,0.00747829607977057,0.0135225096523344,0.000152083827721014,0.0160211677862681,0.00479774925124999,0.0115103068651024,0.0048448113562343,0.0133670511997999,0.0111501111014105,-0.000587996599361245,0.0163320824482393,2015-05-01
666,0.42169917436726,-0.268682247269415,-0.154841056889891,0.00315033010690343,0.0561759624862662,-0.0183033314346703,0.0263638803762733,-0.0122024156705181,0.00741802660423124,0.0147926916584867,0.000917481834751413,0.0154201068170385,0.00483028879324172,0.00974254685282912,0.00424423412562545,0.0143366792180503,0.0109756367646911,0.000267538538003736,0.014681018993888,2015-06-01
667,0.420298964272661,-0.269275418742757,-0.156994596830524,0.00303416988809296,0.0560440859094153,-0.0180290124741762,0.0263600992523788,-0.0116314596131231,0.00758367198124199,0.0149063022354082,0.000626326878262539,0.015462456261345,0.0049733582913437,0.00936119401456761,0.00423473283912349,0.014263137194635,0.0112319149321562,-7.60866015024464e-06,0.014058384184744,2015-07-01
668,0.420140578159773,-0.264983032898727,-0.155818429782869,0.00339236512242645,0.0560148222113366,-0.0175090217493139,0.0257943939161646,-0.0120897488168095,0.00722597102263778,0.0147469225646677,0.000459481047622566,0.0153725396248312,0.00500233023417284,0.00894040856978997,0.00419634833433144,0.0138858262068046,0.0107861690520077,-0.000112282028602604,0.0141014817206887,2015-08-01
