"t","intercept","y_lag1","y_lag2","F1_lag1","F2_lag1","F3_lag1","F4_lag1","F5_lag1","F6_lag1","F7_lag1","F8_lag1","F1_lag2","F2_lag2","F3_lag2","F4_lag2","F5_lag2","F6_lag2","F7_lag2","F8_lag2","date"
506,0.305230699175248,0.0294601576934973,0.112579680189159,-0.00976566939365203,0.0332668462963064,0.000651071206368292,-0.0109693684323722,-0.0201089676498157,-0.00954070744610058,0.00977674682775011,-0.0107862116608357,0.00198147510057529,0.0157737884358386,-0.00203780519717136,0.00538278706668152,0.00833969524535843,-0.00324872715613344,0.000703365000234096,-0.0150645014284646,2002-02-01
507,0.304229683688259,0.0307123798517844,0.114313306516663,-0.00955709972286312,0.0331524668651653,0.00053413648194724,-0.0102659310190568,-0.0204080646415219,0.00953809043012887,0.00995727239636225,-0.0105191231486977,0.00182424061047833,0.0156015900731533,-0.00179412981656573,0.00512576927833175,0.00916502841041485,0.0031075024026245,0.000879402828186102,-0.0153679003176482,2002-03-01
508,0.303580128498565,0.0319574900707472,0.115538532338844,-0.00945876957053777,0.0330581926342326,0.000446873938799866,-0.00980360497916972,-0.0204855848041268,0.00994648568311536,0.00963842490388346,-0.0105527578047128,0.0018016972331278,0.0154331661731311,-0.00154418339434307,0.00498532629486276,0.00944327501582722,0.00334603703115384,0.00075321462795949,-0.0145273637972908,2002-04-01
509,0.303969112959271,0.0295476360301038,0.116700451720501,-0.00964366142968223,0.0331969972697401,0.000870380061608546,-0.00970668521696782,-0.0209929120811753,0.00968249421351477,0.00925870267650162,-0.0105417914676807,0.00193371799835947,0.015315761075844,-0.00189077669238192,0.00520630670236556,0.00945597090263178,0.00384516278476271,0.000785027654714981,-0.0139650697798355,2002-05-01
510,0.302612646800673,0.0287949913667508,0.118819070322043,-0.00969664045994902,0.0331743229262099,0.000973542426833828,-0.00968245987939713,-0.0208523708689395,0.0095387565031753,0.00885225063860981,-0.0113236978189313,0.00189034936867422,0.0152950499690981,-0.00208757214683445,0.00517506264172456,0.00981983490230769,0.00405521842717349,0.000701257039172391,-0.013855519702835,2002-06-01
511,0.302287097332065,0.0289532448999408,0.118049526496667,-0.00977234348610137,0.0332587297761423,0.00121118182495982,-0.0095331124159556,-0.0206599728471532,-0.00974724016287764,0.0085700545202607,-0.0116036528798763,0.0019984279725319,0.015303231399147,-0.00221971103275682,0.00504821719464158,0.00999934055283083,-0.00420560530042673,0.000569955021230607,-0.0133839601907158,2002-07-01
512,0.30252380068231,0.0284403382840771,0.118166486082778,-0.00976328155576318,0.0332153118393529,0.00113613852689517,-0.0094557035438854,-0.0206871281097607,-0.00959375443157383,0.00858932804243666,-0.0112863325220751,0.00202162473325264,0.0152217536791285,-0.00220773340494232,0.00503676951547683,0.00977143736933166,-0.00421208267818404,0.000688166862491961,-0.013169173134115,2002-08-01
513,0.30284408320968,0.0281991046158509,0.117525310837603,-0.00982272474275455,0.033324903353133,0.00116093050603464,-0.00923788820973415,-0.0207520607151089,-0.00950826316238872,0.00830595480422086,-0.0112069500669149,0.0021140157205622,0.015100518589767,-0.00222851678271048,0.00492021567182109,0.00967351570412683,-0.00425278187785142,0.00046259072535281,-0.0125225968819086,2002-09-01
514,0.30269731978895,0.0281285651010692,0.117600983186316,-0.00984153863756965,0.0332945718803443,0.00123561406623869,-0.00889581309294748,-0.0208261759576262,-0.0094231755786746,0.00810375486822801,-0.0113373401924115,0.00215693216420751,0.0151022112128625,-0.00231825221301053,0.00477386332809473,0.00970300683491443,-0.00430572533587456,0.000587837953025979,-0.0124721407858892,2002-10-01
515,0.302442130707637,0.0279024432494125,0.117875510784416,-0.00984529074644017,0.0332337145868308,0.00105484681573819,-0.00876916036688965,-0.0209630764208542,-0.00926818069641507,0.00778771026258434,-0.0114756145589554,0.00209610632563816,0.0150936568348976,-0.00223669492532744,0.00472783590403593,0.00968439614894939,-0.00428210363319864,0.000408236864540669,-0.0124429477560021,2002-11-01
