"window_date","var_idx","beta"
2020-10-01,20,1910.15803800813
2020-10-01,21,-31.8870257699065
2020-11-01,1,2208.64428983766
2020-11-01,2,-2058.58615304363
2020-11-01,3,12.3531538226572
2020-11-01,4,-1129.03313635253
2020-11-01,5,3276.70585241153
2020-11-01,6,-2900.26844941202
2020-11-01,7,983.88014849964
2020-11-01,8,344.444454415743
2020-11-01,9,720.414954721176
2020-11-01,10,4196.12051497872
2020-11-01,11,4118.35376313881
2020-11-01,12,-1460.44700215449
2020-11-01,13,2020.22443050414
2020-11-01,14,4645.0184129609
2020-11-01,15,-113.646298806129
2020-11-01,16,3780.17683100401
2020-11-01,17,2891.60503466871
2020-11-01,18,507.84103028839
2020-11-01,19,-880.088001835368
2020-11-01,20,30.9395763826833
2020-11-01,21,-38.6676255887372
2020-12-01,1,-76.0693603549243
2020-12-01,2,145.297724713022
2020-12-01,3,311.745066350857
2020-12-01,4,1276.25530596043
2020-12-01,5,7184.40976861216
2020-12-01,6,-4541.55247204417
2020-12-01,7,2808.44344180002
2020-12-01,8,1086.36640817223
2020-12-01,9,2781.56603147298
2020-12-01,10,2844.91966284088
2020-12-01,11,5087.22671683639
2020-12-01,12,-644.065363329641
2020-12-01,13,1665.23309194649
2020-12-01,14,750.213330231213
2020-12-01,15,4686.66497696171
2020-12-01,16,3824.36657667155
2020-12-01,17,-291.627858179402
2020-12-01,18,1059.39283952294
2020-12-01,19,-445.564266434948
2020-12-01,20,2504.7338575402
2020-12-01,21,43.7951311884968
2021-01-01,1,1039.76757760133
2021-01-01,2,1592.76845499705
2021-01-01,3,380.614929154369
2021-01-01,4,-4062.54175593555
2021-01-01,5,-3151.18574748019
2021-01-01,6,131.798159528099
2021-01-01,7,-1519.91644462975
2021-01-01,8,4872.34495009478
2021-01-01,9,-3060.21609583505
2021-01-01,10,6214.75814273083
2021-01-01,11,190.245218562359
2021-01-01,12,3399.57371096044
2021-01-01,13,1215.77581185272
2021-01-01,14,-317.3430093115
2021-01-01,15,2063.414683018
2021-01-01,16,3054.12624459518
2021-01-01,17,6254.13989351948
2021-01-01,18,3785.1227885674
2021-01-01,19,2416.80068699117
2021-01-01,20,1840.85159074453
2021-01-01,21,-22.7172783053573
2021-02-01,1,2556.39313601399
2021-02-01,2,-799.020445050456
2021-02-01,3,-1009.38308954915
2021-02-01,4,2295.71325445165
2021-02-01,5,2235.18908656047
2021-02-01,6,1756.89867073966
2021-02-01,7,-613.483181435143
2021-02-01,8,-654.237338315115
2021-02-01,9,1101.67530056531
2021-02-01,10,-647.076717220463
2021-02-01,11,5828.5262254341
2021-02-01,12,2796.67088020096
2021-02-01,13,-655.710565285515
2021-02-01,14,2349.51299677702
2021-02-01,15,58.1722505607889
2021-02-01,16,-126.38655093476
2021-02-01,17,-782.112838989231
2021-02-01,18,310.665022033053
2021-02-01,19,806.520806417544
2021-02-01,20,1238.99918238742
2021-02-01,21,-133.53048451473
2021-03-01,1,616.05418077767
2021-03-01,2,-824.212821776467
2021-03-01,3,130.951237892968
2021-03-01,4,-259.080529492258
2021-03-01,5,216.223481092053
2021-03-01,6,-1130.67381067712
2021-03-01,7,-430.825838905749
2021-03-01,8,815.271340174153
2021-03-01,9,1811.03393118162
2021-03-01,10,-1425.53125302189
2021-03-01,11,204.599528271447
2021-03-01,12,542.903882483786
2021-03-01,13,-730.478460710442
2021-03-01,14,2509.79438897985
2021-03-01,15,2373.31068915626
2021-03-01,16,3329.00544819859
2021-03-01,17,714.324914685494
2021-03-01,18,430.607004175338
2021-03-01,19,-118.812881332359
2021-03-01,20,5745.18162935993
2021-03-01,21,-43.7775253158666
2021-04-01,1,1353.22838875491
2021-04-01,2,-1106.64121712839
2021-04-01,3,1678.43812762519
2021-04-01,4,-961.193922546293
2021-04-01,5,-2565.40385004997
2021-04-01,6,768.101506912218
2021-04-01,7,414.898252629513
2021-04-01,8,-4052.39664860886
2021-04-01,9,3038.42815571089
2021-04-01,10,-2070.86730298101
2021-04-01,11,1729.06932973759
2021-04-01,12,6686.06250237769
2021-04-01,13,5068.13488959977
2021-04-01,14,-1138.09126542745
2021-04-01,15,-1017.53733024917
2021-04-01,16,2789.07820182641
2021-04-01,17,759.490351266934
2021-04-01,18,397.012631277508
2021-04-01,19,1454.97737706197
2021-04-01,20,1995.35176704996
2021-04-01,21,128.474409078663
2021-05-01,1,-1258.46854467374
2021-05-01,2,-587.073466861335
2021-05-01,3,2696.71256275396
2021-05-01,4,-2568.48309475747
2021-05-01,5,2482.84961038595
2021-05-01,6,6270.21437085852
2021-05-01,7,924.32456676095
2021-05-01,8,-2907.22573746726
2021-05-01,9,249.867733121104
2021-05-01,10,-432.608246065433
2021-05-01,11,2295.88546381993
2021-05-01,12,4269.9246574333
2021-05-01,13,2253.78789528145
2021-05-01,14,8044.46032659084
2021-05-01,15,6156.57193527969
2021-05-01,16,3227.63046217418
2021-05-01,17,44.42121041368
2021-05-01,18,6532.20898875332
2021-05-01,19,-1339.96934780411
2021-05-01,20,-1651.99109420451
2021-05-01,21,-15.935396025624
2021-06-01,1,-1258.79175066865
2021-06-01,2,-1114.212722371
2021-06-01,3,2831.3388487244
2021-06-01,4,-1465.92354585791
2021-06-01,5,2277.14901421693
2021-06-01,6,4654.03555527952
2021-06-01,7,101.375595165202
2021-06-01,8,-3532.01820214306
2021-06-01,9,829.220961321475
2021-06-01,10,-606.073392268947
2021-06-01,11,2821.8084457415
2021-06-01,12,4145.21448794384
2021-06-01,13,1133.15963836606
2021-06-01,14,8515.00083490933
2021-06-01,15,6358.47368785673
2021-06-01,16,3157.38464550356
2021-06-01,17,3135.27260444317
2021-06-01,18,-224.521833646869
2021-06-01,19,-1051.50747312579
2021-06-01,20,-1282.78837775169
2021-06-01,21,-37.8485282517942
2021-07-01,1,846.570231616611
2021-07-01,2,-274.906429568779
2021-07-01,3,417.442710590707
2021-07-01,4,-1005.7356258406
2021-07-01,5,-660.293344625345
2021-07-01,6,-1716.63842953986
2021-07-01,7,101.956338008543
2021-07-01,8,-743.061391163958
2021-07-01,9,155.686634678903
2021-07-01,10,-1365.97752743209
2021-07-01,11,2175.21926495484
2021-07-01,12,1122.02792528296
2021-07-01,13,-1309.72274673916
2021-07-01,14,5823.75067624092
2021-07-01,15,376.84491517741
2021-07-01,16,1393.81571911914
2021-07-01,17,709.306653985188
2021-07-01,18,614.182521505616
2021-07-01,19,-428.617442011473
2021-07-01,20,387.500768594926
2021-07-01,21,-16.2165251984275
2021-08-01,1,-956.288940855532
2021-08-01,2,-518.415039357968
2021-08-01,3,3042.83357889624
2021-08-01,4,-2288.02559299739
2021-08-01,5,2263.45852587578
2021-08-01,6,7681.83702772268
2021-08-01,7,752.000009793237
2021-08-01,8,-2903.41933926947
2021-08-01,9,-282.551327731237
2021-08-01,10,-858.565843409398
2021-08-01,11,3663.98991230349
2021-08-01,12,4224.7654256706
2021-08-01,13,1134.28272889142
2021-08-01,14,10751.2927364789
2021-08-01,15,6209.28352085765
2021-08-01,16,2845.76967997941
2021-08-01,17,-1192.55795878766
2021-08-01,18,3960.7169058019
2021-08-01,19,-3535.6234216678
2021-08-01,20,3924.21954107705
2021-08-01,21,38.2063491920402
2021-09-01,1,-832.176382366327
2021-09-01,2,-293.093711289869
2021-09-01,3,3092.61808952205
2021-09-01,4,-2407.05064737916
2021-09-01,5,2295.59283316195
2021-09-01,6,7836.98765633961
2021-09-01,7,946.633244607754
2021-09-01,8,-2884.6253918378
2021-09-01,9,-227.693896679187
2021-09-01,10,-1136.98238507777
2021-09-01,11,3887.9935594141
2021-09-01,12,4195.44414850828
2021-09-01,13,947.020002073669
2021-09-01,14,10303.7364894659
2021-09-01,15,7942.95141414601
2021-09-01,16,2263.53977479481
2021-09-01,17,-1560.28488043775
2021-09-01,18,4372.48147592468
2021-09-01,19,-3619.02450148678
2021-09-01,20,4128.13210318077
2021-09-01,21,-50.7943888942474
2021-10-01,1,5523.23662993067
2021-10-01,2,-5043.31789808206
2021-10-01,3,3785.36207258641
2021-10-01,4,-780.595929030557
2021-10-01,5,-446.697701412579
2021-10-01,6,369.593133918226
2021-10-01,7,5644.44264501468
2021-10-01,8,3057.88528621131
2021-10-01,9,5651.75753910255
2021-10-01,10,3540.01726203527
2021-10-01,11,3299.29659521133
2021-10-01,12,4702.39816939604
2021-10-01,13,-4685.60885382898
2021-10-01,14,1623.65135538964
2021-10-01,15,4230.19880570018
2021-10-01,16,2213.27984593133
2021-10-01,17,4044.4800775111
2021-10-01,18,429.336989313176
2021-10-01,19,1070.05941430219
2021-10-01,20,458.971311031247
2021-10-01,21,-47.8993073435483
2021-11-01,1,-1258.7697354125
2021-11-01,2,1790.63173326644
2021-11-01,3,3006.064224461
2021-11-01,4,-2406.42994474494
2021-11-01,5,3411.84052633227
2021-11-01,6,6154.97456774466
2021-11-01,7,1565.98664471458
2021-11-01,8,-5429.85995138976
2021-11-01,9,-555.245569140221
2021-11-01,10,-1129.93818158992
2021-11-01,11,4192.44272911815
2021-11-01,12,6332.1420424719
2021-11-01,13,5793.96208993648
2021-11-01,14,5544.4244471256
2021-11-01,15,3559.34807676905
2021-11-01,16,-804.660630170288
2021-11-01,17,3474.41411360003
2021-11-01,18,-712.097947831802
2021-11-01,19,6012.38309752405
2021-11-01,20,-3254.20594524283
2021-11-01,21,-219.910030080967
2021-12-01,1,-810.207928687362
2021-12-01,2,-957.42322060258
2021-12-01,3,776.452502316394
2021-12-01,4,-530.35036683289
2021-12-01,5,2190.95641827889
2021-12-01,6,949.152418477756
2021-12-01,7,1219.58675966684
2021-12-01,8,-1047.73858725121
2021-12-01,9,3367.37894334001
2021-12-01,10,-2657.17500229615
2021-12-01,11,-623.335091070923
2021-12-01,12,4632.44146210492
2021-12-01,13,-1151.07790429603
2021-12-01,14,5552.21780925691
2021-12-01,15,-483.943146160437
2021-12-01,16,3484.3477527796
2021-12-01,17,-7.48873165690809
2021-12-01,18,2555.3151097077
2021-12-01,19,1005.36571108973
2021-12-01,20,-2128.07323635055
2021-12-01,21,30.1131739094213
2022-01-01,1,2103.72541677874
2022-01-01,2,-334.249045783631
2022-01-01,3,2564.08662683394
2022-01-01,4,-1644.3330029491
2022-01-01,5,-1798.99450346378
2022-01-01,6,-572.779624703263
2022-01-01,7,-37.7685854280664
2022-01-01,8,4969.787076173
2022-01-01,9,4845.95494253986
2022-01-01,10,-409.075301287815
2022-01-01,11,988.290043629255
2022-01-01,12,4545.55314837986
2022-01-01,13,-3000.54594162262
2022-01-01,14,-750.061288052048
2022-01-01,15,965.973736481758
2022-01-01,16,2761.78761451226
2022-01-01,17,-1976.36244614769
2022-01-01,18,2381.20523344761
2022-01-01,19,3998.97761014813
2022-01-01,20,1710.7133157068
2022-01-01,21,-196.53607265772
2022-02-01,1,-3220.07080796235
2022-02-01,2,1685.48997435255
2022-02-01,3,1897.98349669932
2022-02-01,4,-1475.72872955521
2022-02-01,5,-1512.5085698185
2022-02-01,6,-727.407958847076
2022-02-01,7,-382.864885797084
2022-02-01,8,3215.96075076663
2022-02-01,9,5323.63590316659
2022-02-01,10,-728.507461556839
2022-02-01,11,1196.69751485454
2022-02-01,12,5203.78052626862
2022-02-01,13,-3061.12804948481
2022-02-01,14,-3804.01692314845
2022-02-01,15,123.164801635799
2022-02-01,16,4256.00511903938
2022-02-01,17,2781.00423760814
2022-02-01,18,479.806665540356
2022-02-01,19,2926.67197940167
2022-02-01,20,2761.93371680364
2022-02-01,21,-85.3699331254074
2022-03-01,1,1972.23375221665
2022-03-01,2,2525.67613076233
2022-03-01,3,5501.27427124397
