"t","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18"
686,2.32518238072758,-1.84837553442753,-0.872737158350737,-0.0115679187524616,0.0812725260664032,0.0116220366230584,0.0354213407188649,-0.0710635792331111,-0.0995551869565908,-0.042799069522592,-0.0392829324136098,-0.00503144868275359,0.0174953957433277,0.0116163203751071,-0.0569033295026267,-0.132126809115451,-0.0889284155233606,0.0402792152082455,-0.14194002627667
687,2.69202265075974,-2.17498813178674,-0.908447613847103,-0.0196275428259313,0.0913679264962461,0.0483434041159496,0.0421548023363167,-0.0670942860835843,-0.149946200619159,-0.0847040959491047,0.00934663913355966,0.0135690025286479,-0.0125212134769195,0.00338650239859771,-0.088150975515378,-0.125470456848078,-0.101077997885714,0.013074657625989,-0.0297139309591923
688,2.78848384824891,-1.99752359968367,-0.946036871812551,-0.0321226111031127,0.0846356522085919,0.0304032776504457,0.0741732692711787,-0.0720277939633835,-0.112477100357857,0.0893303911085476,0.0202228825893529,0.00305021219417287,-0.00987056337421801,0.0281426920863532,-0.076047459478335,-0.137203439441094,-0.130843669286048,0.015793623196226,-0.0333724925133103
689,2.88370999950092,-1.88967664673814,-0.778531676976058,-0.0461058093344541,0.0938086180333671,0.0398613940342377,0.109963185893715,-0.0391545302056741,-0.118030230998601,0.0666202751119032,0.0498965940684104,-0.00291495274486511,-0.0122269213034784,0.0210277999025691,-0.0550713738895885,-0.166098903528516,-0.103540854296952,0.0366227298870031,-0.0298541596761808
690,2.90683700098102,-1.87523197791663,-0.487465903960017,-0.0423370856404406,0.087049763061275,0.0191421340448817,0.0873185471845675,-0.0415579927883249,-0.0739205552062155,0.0510766320478711,0.0553969241429147,-0.00995240464042025,-0.000969113696966469,0.0232351400157526,-0.0273272897453701,-0.123834106049087,-0.097465268621815,0.00508208797596144,-0.00689961360428724
691,2.85519519278448,-1.94055239615213,-0.424018246697672,-0.0460661555761913,0.095559791442525,0.0400847354381419,0.0778637735511117,-0.0115057461635225,-0.0491863137411766,0.0748529858765984,0.0403764363188445,-0.00607013480304745,-0.00471028795690918,0.0449412040911982,-0.00319413654538714,-0.121929491605817,-0.129778206302355,0.0259714421534754,-0.0285256694402004
692,2.71556916611724,-1.70629046017215,-0.474818337047033,-0.0566143180152183,0.097923475283037,0.030876445769199,0.0716559331587911,-0.0446847910116158,-0.0583596941916397,0.026751459636969,0.0588661359123515,-0.00689374655014434,0.00131365244533747,0.0529052652122521,-0.0327485564455884,-0.101598233328737,-0.116495165546449,0.0422570582410648,-0.0431193177236285
693,2.62704801028048,-1.87288714859269,-0.395677130546642,-0.0541699491971113,0.0901527070966182,0.0154059519690877,0.0835981470282838,-0.0570082668442589,-0.0557902507471115,0.0306961974291712,0.0536090747236,-0.0111825548576194,-0.00256739171346273,0.0356884115113199,-0.0316422672161308,-0.117515163285511,-0.123553578539033,0.0242900076307971,-0.046379682717542
694,2.68445680194496,-1.69358282123927,-0.1107951567929,-0.0505688153441511,0.0928766650320375,0.00260030075114068,0.0714243152520851,-0.0610460196195528,-0.0586143278266388,0.0460267193538611,0.0671983278546594,-0.019607331956296,0.00234929236274773,0.0509467020055056,-0.053501445695225,-0.116880893556106,-0.143928520751064,0.0248921800617082,-0.0430796400793105
695,2.69380586083487,-1.69855638314487,-0.112603419386778,-0.0464591553049203,0.0943771853981992,-0.000988424585471567,0.0627160785140511,-0.0668294821314461,-0.0547520266753002,0.0388923973441839,0.0710974728538969,-0.0173741702725927,-0.000562789643657384,0.0369467842715574,-0.0574348006372588,-0.120639003500411,-0.140126952426896,0.0289339431217037,-0.0394509344320912
696,2.65265961923276,-1.72153715114827,-0.179185453958875,-0.052723434903769,0.0802545876791653,-0.0109265381277052,0.046774218542682,-0.0818521565926457,-0.0243627079424687,0.0527203193392772,0.0513882975492185,-0.00920265199822739,0.00053988969732336,0.0204194889987287,-0.0729402604511909,-0.131518503430197,-0.120971239291017,0.0108794136837424,-0.0404252462871066
