"h","periodo","modelo","rmsfe"
9,"COVID","Bagging",1.10570057571117
10,"COVID","Bagging",1.30252882413362
11,"COVID","Bagging",1.29639318415754
12,"COVID","Bagging",1.14904417639978
1,"COVID","Factor",1.01800816585625
2,"COVID","Factor",0.953884432290354
3,"COVID","Factor",1.19966500133987
4,"COVID","Factor",0.955175982426207
5,"COVID","Factor",0.855095274955653
6,"COVID","Factor",0.911850559987496
7,"COVID","Factor",1.01485812834536
8,"COVID","Factor",1.03257513121273
9,"COVID","Factor",0.867842130549414
10,"COVID","Factor",0.95266901277037
11,"COVID","Factor",0.922721705416206
12,"COVID","Factor",0.932222413620271
1,"COVID","AR",0.928443909543619
2,"COVID","AR",0.836453647323105
3,"COVID","AR",0.873113930421149
4,"COVID","AR",0.851996369984752
5,"COVID","AR",0.853631143818003
6,"COVID","AR",0.850349251840424
7,"COVID","AR",0.928835974400937
8,"COVID","AR",0.916494606434871
9,"COVID","AR",0.852959601279518
10,"COVID","AR",0.892877968561892
11,"COVID","AR",0.910492244725989
12,"COVID","AR",0.841238546421116
1,"Post_COVID","2SRR",0.918883721052028
2,"Post_COVID","2SRR",0.717784896628476
3,"Post_COVID","2SRR",0.749377210845375
4,"Post_COVID","2SRR",0.663573539109503
5,"Post_COVID","2SRR",0.673737689863271
6,"Post_COVID","2SRR",0.664984715019379
7,"Post_COVID","2SRR",0.597980811901773
8,"Post_COVID","2SRR",0.481402399899728
9,"Post_COVID","2SRR",0.375376100728693
10,"Post_COVID","2SRR",0.399589998395401
11,"Post_COVID","2SRR",0.412276294847476
12,"Post_COVID","2SRR",0.380667416973112
1,"Post_COVID","Ridge",0.864779665280755
2,"Post_COVID","Ridge",0.771724860509838
3,"Post_COVID","Ridge",0.799736033578969
4,"Post_COVID","Ridge",0.716860498148041
5,"Post_COVID","Ridge",0.697661296470343
6,"Post_COVID","Ridge",0.694083583625221
7,"Post_COVID","Ridge",0.594833406255378
8,"Post_COVID","Ridge",0.465796613267554
9,"Post_COVID","Ridge",0.372348391251045
10,"Post_COVID","Ridge",0.417315981200075
11,"Post_COVID","Ridge",0.448722667888626
12,"Post_COVID","Ridge",0.395532791447052
1,"Post_COVID","LASSO",0.859434566736505
2,"Post_COVID","LASSO",0.675394730748119
3,"Post_COVID","LASSO",0.667174781400895
4,"Post_COVID","LASSO",0.629684917956738
5,"Post_COVID","LASSO",0.626574927846095
6,"Post_COVID","LASSO",0.676852355259044
7,"Post_COVID","LASSO",0.622718163317842
8,"Post_COVID","LASSO",0.513131565193476
9,"Post_COVID","LASSO",0.444739232258448
10,"Post_COVID","LASSO",0.443479510714568
11,"Post_COVID","LASSO",0.423635822695991
12,"Post_COVID","LASSO",0.365209144118767
1,"Post_COVID","RF",0.853230125206522
2,"Post_COVID","RF",0.699739707876884
3,"Post_COVID","RF",0.69914765298827
4,"Post_COVID","RF",0.640317906808545
5,"Post_COVID","RF",0.621172770266662
6,"Post_COVID","RF",0.672918244483389
7,"Post_COVID","RF",0.633712797044798
8,"Post_COVID","RF",0.545907890848614
9,"Post_COVID","RF",0.459583183117381
10,"Post_COVID","RF",0.47203449677227
11,"Post_COVID","RF",0.526893109738288
12,"Post_COVID","RF",0.458029379713216
1,"Post_COVID","Bagging",1.06963589177615
2,"Post_COVID","Bagging",0.998964285942183
3,"Post_COVID","Bagging",1.0349742298967
4,"Post_COVID","Bagging",0.805653274911954
5,"Post_COVID","Bagging",0.831212662123984
6,"Post_COVID","Bagging",0.812746210068869
7,"Post_COVID","Bagging",0.786745460293507
8,"Post_COVID","Bagging",0.72371019868917
9,"Post_COVID","Bagging",0.727859884518243
10,"Post_COVID","Bagging",0.79125985362344
11,"Post_COVID","Bagging",0.867255694334846
12,"Post_COVID","Bagging",0.700912508046897
1,"Post_COVID","Factor",0.866147541631185
2,"Post_COVID","Factor",0.711079298196474
3,"Post_COVID","Factor",0.68231952873135
4,"Post_COVID","Factor",0.68056996293231
5,"Post_COVID","Factor",0.646247394114698
6,"Post_COVID","Factor",0.696790097773223
7,"Post_COVID","Factor",0.613296438735293
8,"Post_COVID","Factor",0.490617455458868
9,"Post_COVID","Factor",0.44756505359251
10,"Post_COVID","Factor",0.433898143550237
11,"Post_COVID","Factor",0.432228770487198
12,"Post_COVID","Factor",0.414104390874343
1,"Post_COVID","AR",0.79555590790569
2,"Post_COVID","AR",0.701581288694598
3,"Post_COVID","AR",0.684922245140725
4,"Post_COVID","AR",0.613155487897366
5,"Post_COVID","AR",0.581581961309344
6,"Post_COVID","AR",0.609054354869478
7,"Post_COVID","AR",0.540683497318919
8,"Post_COVID","AR",0.453082212078155
9,"Post_COVID","AR",0.400822232162272
10,"Post_COVID","AR",0.412235981732735
11,"Post_COVID","AR",0.436476253201002
12,"Post_COVID","AR",0.364444753524844
1,"GFC","2SRR",1.16592747463308
2,"GFC","2SRR",0.984018343293542
3,"GFC","2SRR",0.833395028777892
4,"GFC","2SRR",0.753547703655273
5,"GFC","2SRR",0.772658158164166
6,"GFC","2SRR",0.850809231553852
7,"GFC","2SRR",0.911995904076274
8,"GFC","2SRR",0.914905120592456
9,"GFC","2SRR",0.901459450309064
10,"GFC","2SRR",0.906746031497656
11,"GFC","2SRR",0.794152109783749
12,"GFC","2SRR",0.745248533411669
1,"GFC","Ridge",0.994993220910665
2,"GFC","Ridge",0.922049892410209
3,"GFC","Ridge",0.819743483185437
4,"GFC","Ridge",0.81407123673648
5,"GFC","Ridge",0.754586403553053
6,"GFC","Ridge",0.789760613002275
7,"GFC","Ridge",0.859456207055001
8,"GFC","Ridge",0.951257258261005
9,"GFC","Ridge",0.924921182395475
10,"GFC","Ridge",0.908800089080584
11,"GFC","Ridge",0.840209471855685
12,"GFC","Ridge",0.758585305427624
1,"GFC","LASSO",0.866852107629667
2,"GFC","LASSO",0.792502543773697
3,"GFC","LASSO",0.767320921789742
4,"GFC","LASSO",0.762221304372104
5,"GFC","LASSO",0.741462972804423
6,"GFC","LASSO",0.736621572072419
7,"GFC","LASSO",0.794763127176842
8,"GFC","LASSO",0.817751144334836
9,"GFC","LASSO",0.78391038725835
10,"GFC","LASSO",0.77209058969966
11,"GFC","LASSO",0.748553978315977
12,"GFC","LASSO",0.646462462278742
1,"GFC","RF",1.00700586495027
2,"GFC","RF",0.83148734417308
3,"GFC","RF",0.739816661552277
4,"GFC","RF",0.74812128334135
5,"GFC","RF",0.704747359572779
6,"GFC","RF",0.708715420229616
7,"GFC","RF",0.754593283751934
8,"GFC","RF",0.775261370988678
9,"GFC","RF",0.73799937700008
10,"GFC","RF",0.699520244273366
11,"GFC","RF",0.691654925129366
12,"GFC","RF",0.65448938113868
1,"GFC","Bagging",0.945280015795099
2,"GFC","Bagging",1.04847823811024
3,"GFC","Bagging",0.739800933227156
4,"GFC","Bagging",0.862634765694452
5,"GFC","Bagging",0.94537264483892
6,"GFC","Bagging",1.01323990415538
7,"GFC","Bagging",0.946176160329553
8,"GFC","Bagging",1.50245838862303
9,"GFC","Bagging",1.37325659821197
10,"GFC","Bagging",1.25219735757195
11,"GFC","Bagging",1.57837674152181
12,"GFC","Bagging",1.15674785987884
1,"GFC","Factor",0.877065175278128
2,"GFC","Factor",0.786526837881901
3,"GFC","Factor",0.77075633545018
4,"GFC","Factor",0.782683949611096
5,"GFC","Factor",0.807962318812093
6,"GFC","Factor",0.846007278751934
7,"GFC","Factor",0.907910537245118
8,"GFC","Factor",0.967860681656851
9,"GFC","Factor",0.950472150148095
10,"GFC","Factor",0.887331232002172
11,"GFC","Factor",0.860881438891301
12,"GFC","Factor",0.827794917472333
1,"GFC","AR",0.963977950980986
2,"GFC","AR",0.889496920410083
3,"GFC","AR",0.83949716490256
4,"GFC","AR",0.816515733794388
5,"GFC","AR",0.768387871881932
6,"GFC","AR",0.769252590540078
7,"GFC","AR",0.816908208646396
8,"GFC","AR",0.850973850366023
9,"GFC","AR",0.83753218735266
10,"GFC","AR",0.808480440205205
11,"GFC","AR",0.771631921031233
12,"GFC","AR",0.694841205311244
